country_Code,Country_number,Country,Currency_Name,Currency_Code,Currency_Number,temp,Currency_Code2,Value
NAM,516,NAMIBIA,Rand,ZAR,710,159,ZAR,19.039045
NRU,520,NAURU,Australian Dollar,AUD,36,8,AUD,1.572893
NPL,524,NEPAL,Nepalese Rupee,NPR,524,105,NPR,132.892713
NLD,528,NETHERLANDS (THE),Euro,EUR,978,43,EUR,0.942866
NCL,540,NEW CALEDONIA,CFP Franc,XPF,953,157,XPF,112.568436
NZL,554,NEW ZEALAND,New Zealand Dollar,NZD,554,106,NZD,1.711312
NIC,558,NICARAGUA,Cordoba Oro,NIO,558,103,NIO,36.608845
NER,562,NIGER (THE),CFA Franc BCEAO,XOF,952,156,XOF,618.778311
NGA,566,NIGERIA,Naira,NGN,566,102,NGN,824.615248
NIU,570,NIUE,New Zealand Dollar,NZD,554,106,NZD,1.711312
NFK,574,NORFOLK ISLAND,Australian Dollar,AUD,36,8,AUD,1.572893
MNP,580,NORTHERN MARIANA ISLANDS (THE),US Dollar,USD,840,0,USD,1.0
NOR,578,NORWAY,Norwegian Krone,NOK,578,104,NOK,11.156498
OMN,512,OMAN,Rial Omani,OMR,512,107,OMR,0.384497
PAK,586,PAKISTAN,Pakistan Rupee,PKR,586,112,PKR,279.45089
PLW,585,PALAU,US Dollar,USD,840,0,USD,1.0
PAN,591,PANAMA,Balboa,PAB,590,108,PAB,1.0
PAN,591,PANAMA,US Dollar,USD,840,0,USD,1.0
PNG,598,PAPUA NEW GUINEA,Kina,PGK,598,110,PGK,3.738727
PRY,600,PARAGUAY,Guarani,PYG,600,114,PYG,7466.582745
PER,604,PERU,Nuevo Sol,PEN,604,109,PEN,3.86512
PHL,608,PHILIPPINES (THE),Philippine Peso,PHP,608,111,PHP,56.76762
PCN,612,PITCAIRN,New Zealand Dollar,NZD,554,106,NZD,1.711312
POL,616,POLAND,Zloty,PLN,985,113,PLN,4.20779
PRT,620,PORTUGAL,Euro,EUR,978,43,EUR,0.942866
PRI,630,PUERTO RICO,US Dollar,USD,840,0,USD,1.0
QAT,634,QATAR,Qatari Rial,QAR,634,115,QAR,3.64
REU,638,RÉUNION,Euro,EUR,978,43,EUR,0.942866
ROU,642,ROMANIA,Romanian Leu,RON,946,116,RON,4.672765
RUS,643,RUSSIAN FEDERATION (THE),Russian Ruble,RUB,643,118,RUB,93.603471
RWA,646,RWANDA,Rwanda Franc,RWF,646,119,RWF,1255.519591
BLM,652,SAINT BARTHÉLEMY,Euro,EUR,978,43,EUR,0.942866
SHN,654,SAINT HELENA| ASCENSION AND TRISTAN DA CUNHA,Saint Helena Pound,SHP,654,126,SHP,0.821186
KNA,659,SAINT KITTS AND NEVIS,East Caribbean Dollar,XCD,951,154,XCD,2.7
LCA,662,SAINT LUCIA,East Caribbean Dollar,XCD,951,154,XCD,2.7
MAF,663,SAINT MARTIN (FRENCH PART),Euro,EUR,978,43,EUR,0.942866
SPM,666,SAINT PIERRE AND MIQUELON,Euro,EUR,978,43,EUR,0.942866
VCT,670,SAINT VINCENT AND THE GRENADINES,East Caribbean Dollar,XCD,951,154,XCD,2.7
WSM,882,SAMOA,Tala,WST,882,152,WST,2.793099
SMR,674,SAN MARINO,Euro,EUR,978,43,EUR,0.942866
STP,678,SAO TOME AND PRINCIPE,Dobra,STN,930,132,STN,23.111376
SAU,682,SAUDI ARABIA,Saudi Riyal,SAR,682,120,SAR,3.75
SEN,686,SENEGAL,CFA Franc BCEAO,XOF,952,156,XOF,618.778311
SRB,688,SERBIA,Serbian Dinar,RSD,941,117,RSD,110.416424
SYC,690,SEYCHELLES,Seychelles Rupee,SCR,690,122,SCR,13.191239
SLE,694,SIERRA LEONE,Leone,SLL,694,128,SLL,22462.467244
SGP,702,SINGAPORE,Singapore Dollar,SGD,702,125,SGD,1.36794
SXM,534,SINT MAARTEN (DUTCH PART),Netherlands Antillean Guilder,ANG,532,5,ANG,1.79
SVK,703,SLOVAKIA,Euro,EUR,978,43,EUR,0.942866
SVN,705,SLOVENIA,Euro,EUR,978,43,EUR,0.942866
SLB,90,SOLOMON ISLANDS,Solomon Islands Dollar,SBD,90,121,SBD,8.474735
SOM,706,SOMALIA,Somali Shilling,SOS,706,129,SOS,571.746501
ZAF,710,SOUTH AFRICA,Rand,ZAR,710,159,ZAR,19.039045
SSD,728,SOUTH SUDAN,South Sudanese Pound,SSP,728,131,SSP,1030.251036
ESP,724,SPAIN,Euro,EUR,978,43,EUR,0.942866
